epoch,TP,FN,FP,TN,Loss,Accuracy,B_accuracy,Sepecificity,Precision,Recall,F-measure,AUC
1,0,40,0,574,0.21182246382037798,0.9348534201954397,0.5,1.0,nan,0.0,nan,0.7848432055749129
2,0,40,2,572,0.20779700726270675,0.9315960912052117,0.49825783972125437,0.9965156794425087,0.0,0.0,nan,0.8065766550522648
3,0,40,0,574,0.21826083275179067,0.9348534201954397,0.5,1.0,nan,0.0,nan,0.7604094076655052
4,1,39,5,569,0.20053725242614745,0.9283387622149837,0.5081445993031358,0.9912891986062717,0.16666666666666666,0.025,0.04347826086956522,0.8259146341463415
5,3,37,5,569,0.22323574448625247,0.9315960912052117,0.5331445993031358,0.9912891986062717,0.375,0.075,0.12499999999999999,0.7584059233449477
6,2,38,2,572,0.22399443065126737,0.9348534201954397,0.5232578397212544,0.9965156794425087,0.5,0.05,0.09090909090909091,0.7646341463414634
7,9,31,17,557,0.21341161765158176,0.9218241042345277,0.597691637630662,0.9703832752613241,0.34615384615384615,0.225,0.27272727272727276,0.8294425087108014
8,4,36,15,559,0.2442712693164746,0.9169381107491856,0.5369337979094077,0.9738675958188153,0.21052631578947367,0.1,0.13559322033898305,0.7706445993031359
9,6,34,16,558,0.2245934130003055,0.9185667752442996,0.5610627177700348,0.9721254355400697,0.2727272727272727,0.15,0.19354838709677416,0.8195121951219512
10,10,30,14,560,0.24876082216699918,0.9283387622149837,0.6128048780487805,0.975609756097561,0.4166666666666667,0.25,0.3125,0.7843641114982578
11,5,35,14,560,0.25032356604933736,0.9201954397394136,0.5503048780487805,0.975609756097561,0.2631578947368421,0.125,0.1694915254237288,0.7983449477351917
12,2,38,8,566,0.2675110436665515,0.9250814332247557,0.5180313588850174,0.9860627177700348,0.2,0.05,0.08000000000000002,0.7744773519163762
13,10,30,22,552,0.2708805930490295,0.9153094462540716,0.605836236933798,0.9616724738675958,0.3125,0.25,0.2777777777777778,0.8027439024390244
14,5,35,12,562,0.30475045323061445,0.9234527687296417,0.5520470383275261,0.9790940766550522,0.29411764705882354,0.125,0.17543859649122806,0.7532665505226481
15,7,33,17,557,0.29929761635139585,0.9185667752442996,0.572691637630662,0.9703832752613241,0.2916666666666667,0.175,0.21875,0.788109756097561
16,7,33,17,557,0.2954564083678027,0.9185667752442996,0.572691637630662,0.9703832752613241,0.2916666666666667,0.175,0.21875,0.8048344947735192
17,6,34,19,555,0.3686496499925852,0.9136807817589576,0.5584494773519164,0.9668989547038328,0.24,0.15,0.1846153846153846,0.7601480836236935
18,4,36,13,561,0.3257661384297535,0.9201954397394136,0.5386759581881533,0.9773519163763066,0.23529411764705882,0.1,0.14035087719298245,0.7882839721254356
19,7,33,16,558,0.3410259291063994,0.9201954397394136,0.5735627177700349,0.9721254355400697,0.30434782608695654,0.175,0.2222222222222222,0.7866289198606272
20,8,32,21,553,0.38634699638932946,0.9136807817589576,0.5817073170731707,0.9634146341463414,0.27586206896551724,0.2,0.2318840579710145,0.7766550522648082
21,10,30,20,554,0.37744407282055664,0.9185667752442996,0.6075783972125435,0.9651567944250871,0.3333333333333333,0.25,0.28571428571428575,0.7852787456445993
22,8,32,19,555,0.3882546565805872,0.9169381107491856,0.5834494773519164,0.9668989547038328,0.2962962962962963,0.2,0.23880597014925375,0.78044425087108
23,11,29,20,554,0.3439723351504654,0.9201954397394136,0.6200783972125435,0.9651567944250871,0.3548387096774194,0.275,0.3098591549295775,0.8172038327526133
24,8,32,12,562,0.42638918314284335,0.9283387622149837,0.5895470383275261,0.9790940766550522,0.4,0.2,0.26666666666666666,0.7232142857142857
25,7,33,19,555,0.4505664099706337,0.9153094462540716,0.5709494773519164,0.9668989547038328,0.2692307692307692,0.175,0.2121212121212121,0.7417247386759582
26,8,32,19,555,0.4225635354484742,0.9169381107491856,0.5834494773519164,0.9668989547038328,0.2962962962962963,0.2,0.23880597014925375,0.7604529616724739
27,7,33,15,559,0.4973955446504988,0.9218241042345277,0.5744337979094076,0.9738675958188153,0.3181818181818182,0.175,0.22580645161290322,0.6988240418118467
28,8,32,16,558,0.4460967211984098,0.9218241042345277,0.5860627177700348,0.9721254355400697,0.3333333333333333,0.2,0.25,0.7580574912891986
29,7,33,16,558,0.4615696792646001,0.9201954397394136,0.5735627177700349,0.9721254355400697,0.30434782608695654,0.175,0.2222222222222222,0.7458623693379791
30,7,33,18,556,0.4733310882933438,0.9169381107491856,0.5718205574912892,0.9686411149825784,0.28,0.175,0.2153846153846154,0.7365853658536585
31,5,35,8,566,0.49235301213921046,0.9299674267100977,0.5555313588850175,0.9860627177700348,0.38461538461538464,0.125,0.18867924528301888,0.7308362369337978
32,10,30,19,555,0.48172093514197817,0.9201954397394136,0.6084494773519165,0.9668989547038328,0.3448275862068966,0.25,0.2898550724637681,0.7571864111498258
33,7,33,14,560,0.47621448029919217,0.9234527687296417,0.5753048780487805,0.975609756097561,0.3333333333333333,0.175,0.22950819672131145,0.7524390243902439
34,10,30,18,556,0.5425361694903889,0.9218241042345277,0.6093205574912892,0.9686411149825784,0.35714285714285715,0.25,0.2941176470588235,0.7225174216027874
35,8,32,15,559,0.5294717111353141,0.9234527687296417,0.5869337979094077,0.9738675958188153,0.34782608695652173,0.2,0.253968253968254,0.7264808362369337
36,14,26,23,551,0.4834105337969959,0.9201954397394136,0.654965156794425,0.9599303135888502,0.3783783783783784,0.35,0.36363636363636365,0.7667247386759583
37,10,30,17,557,0.5159826193315288,0.9234527687296417,0.610191637630662,0.9703832752613241,0.37037037037037035,0.25,0.29850746268656714,0.728397212543554
38,9,31,14,560,0.5139977302091817,0.9267100977198697,0.6003048780487805,0.975609756097561,0.391304347826087,0.225,0.2857142857142857,0.7188588850174216
39,8,32,18,556,0.5214503365103156,0.9185667752442996,0.5843205574912892,0.9686411149825784,0.3076923076923077,0.2,0.24242424242424246,0.7461672473867595
40,12,28,26,548,0.5292864280131956,0.9120521172638436,0.6273519163763066,0.9547038327526133,0.3157894736842105,0.3,0.3076923076923077,0.7646777003484321
41,7,33,15,559,0.5549481274589197,0.9218241042345277,0.5744337979094076,0.9738675958188153,0.3181818181818182,0.175,0.22580645161290322,0.7278310104529616
42,10,30,21,553,0.499220877524931,0.9169381107491856,0.6067073170731707,0.9634146341463414,0.3225806451612903,0.25,0.28169014084507044,0.7727351916376306
43,12,28,20,554,0.4969974688564738,0.9218241042345277,0.6325783972125435,0.9651567944250871,0.375,0.3,0.33333333333333326,0.7602351916376306
44,7,33,19,555,0.5281897241889965,0.9153094462540716,0.5709494773519164,0.9668989547038328,0.2692307692307692,0.175,0.2121212121212121,0.7418989547038328
45,8,32,15,559,0.5207214292914917,0.9234527687296417,0.5869337979094077,0.9738675958188153,0.34782608695652173,0.2,0.253968253968254,0.7478222996515679
